model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,filter_1,filter_2,filter_3,filter_4,filter_5,discount_price,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  S2040123,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORNER,CORNER, 0,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/1006-CORNER-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040161,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORNER,CORNER, 1530,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2021/12/S2040161-Corner-Wash-Basin.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040124,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COSY, COSY, 0,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/1007-COSY-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040125,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CALLIS,CALLIS, 2600,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/CALLIS-2814-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2040126,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CHICO,CHICO, 1590,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/CHICO-2808-Wash-Basin-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030107,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CAESER,Wash Basin with built in counter 700 x 490 x 175 mm, 7650,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/S2030107-CAESER-1026.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030108,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - COLOGNE,Wash Basin with built in counter 865 x 500 x 190 mm, 7590,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1031-Cologne-WB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030109,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORREN,Wash Basin with built in counter, 4730,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1063-Corren-Right.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030110,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CORREN,Wash Basin with built in counter, 4730,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/1063-Corren-Left.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S5020101,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA EWCs - CROMA,CROMA Wall Hung Bidet 550 x 370 x 340 mm  New Cat No: S5020101 Bidet, 21900,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/CROMA-3016-Wall-Hung-Bidet.-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2022103YL,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Colour wash basins - CAFE SILK YELLOW,CAFE SILK Yellow, 9915,,,,,,,,silk-yellow,https://www.cera-india.com/wp-content/uploads/2016/04/1222-SYL-silk-yellow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2022103OR,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Colour wash basins - CAFE SILK ORANGE,CAFE SILK ORANGE, 9915,,,,,,,,silk-orange,https://www.cera-india.com/wp-content/uploads/2016/04/1222-SOR-silk-orange-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2022103BK,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Colour wash basins - CAFE SILK BLACK,CAFE SILK BLACK, 9915,,,,,,,,silk-black,https://www.cera-india.com/wp-content/uploads/2016/04/1222-SBK-silk-black-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2022103GY,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Colour wash basins - CAFE SILK GREY, CAFE SILK GREY, 9915,,,,,,,,silk-grey,https://www.cera-india.com/wp-content/uploads/2016/04/1222-SGY-silk-grey-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2022103CC,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Colour wash basins - CAFE SILK CAPPUCCINO,CAFE SILK Cappuccino, 9915,,,,,,,,silk-brown,https://www.cera-india.com/wp-content/uploads/2016/12/S2022103CC.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2022103CL,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Colour wash basins - CAFE SILK CARAMEL,CAFE SILK Caramel, 9915,,,,,,,,silk-cream,https://www.cera-india.com/wp-content/uploads/2016/12/S2022103CL.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2022103RD,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Colour wash basins - CAFE SILK RED,CAFE SILK RED, 9915,,,,,,,,silk-red,https://www.cera-india.com/wp-content/uploads/2016/04/1222-SRD-silk-red-3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2022103WT,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Colour wash basins - CAFE SILK WHITE,CAFE SILK WHITE, 9865,,,,,,,,silk-white,https://www.cera-india.com/wp-content/uploads/2016/04/1222-SWT-silk-white-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bathroom and kitchen fittings,sanitary ware,Basin,table basin,cera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
