model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,filter_1,filter_2,filter_3,filter_4,filter_5,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  F7010517AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010517AB Rain Shower,200 x 200 mm (8″ x 8″), 2970,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010517AB-f11@cutout1471-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  ,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010605AB Rain Shower,230 mm dia (9″), 4455,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010605AB-f11@cutout1461-copy_sml-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010515AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010515AB Rain Shower,400 x 230 mm (16″ x 9″), 5940,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010515AB-f11@cutout1458-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010111SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010111SS Rain Shower,Rain shower SS 304, 1985,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010111SS-f11@cutout1475-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010211SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010211SS Rain Shower,Rain shower SS 304, 1640,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010211SS-f11@cutout1472-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010110SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010110SS Rain Shower,Rain shower SS 304, 2975,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010110SS-f11@cutout1465-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010210SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010210SS Rain Shower,Rain shower SS 304, 2630,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010210SS-f11@cutout1464-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010109SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010109SS Rain Shower,Rain shower SS 304, 7805,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010109SS-f11@cutout1456-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010209SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010209SS Rain Shower,Rain shower SS 304, 7425,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010209SS-f11@cutout1457-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010108SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010108SS Rain Shower,Rain shower SS 304, 12260,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010108SS-f11@cutout1454-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010208SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010208SS Rain Shower,Rain shower SS 304, 11880,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010208SS-f11@cutout1455-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CE 202,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020502 Overhead shower,Overhead shower 130 mm dia (5″) with 3 flow, 2050,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CE-202-Overhead-shower-2-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CE 201,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020501Overhead shower,Overhead shower 65 mm dia (2.5″), 1020,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CE-201-Overhead-shower-2-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010301,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010301 Overhead rain shower square,Overhead rain shower, 8855,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-426-Overhead-rain-shower-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010401,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010401 Overhead rain shower,Overhead rain shower, 13065,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-427-Overhead-rain-shower-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010402,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010402 Overhead rain shower oval,Overhead rain shower oval, 14585,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-428-Overhead-rain-shower-oval-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 414,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010505 Overhead rain shower square,Overhead rain shower square 200 x 200 mm (8” x 8”), 2350,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010505-Overhead-rain-shower-square.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 415,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010506 Overhead rain shower square,Overhead rain shower square 150 x 150 mm (6” x 6”), 1505,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010506-Overhead-rain-shower-square.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 417,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010507 Overhead rain shower square,Overhead rain shower square 200 x 200 mm (8” x 8”), 1365,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010507-Overhead-rain-shower-square.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 409B,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010501 Overhead rain shower square,Overhead rain shower square 180 x 180 mm (7″ x 7″), 885,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010501-Overhead-rain-shower-square.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 411,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010502 Overhead rain shower square,Overhead rain shower square 200 x 200 mm (8” x 8”), 2175,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010502-Overhead-rain-shower-square.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 412,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010503 Overhead rain shower square,Overhead rain shower square 200 x 200 mm (8” x 8”), 2130,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010503-Overhead-rain-shower-square.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 413,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010504 Overhead rain shower square,Overhead rain shower square 100 x 100 mm (4” x 4”), 985,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010504-Overhead-rain-shower-square.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 408B,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010601 Overhead rain shower,Overhead rain shower 200 mm dia (8”), 1140,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010601-Overhead-rain-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 429,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010603 Overhead rain shower,Overhead rain shower 200 mm dia (8″) High grade Chrome finish with ABS body Self cleaning nozzles, 2540,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010603-Overhead-rain-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 410,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010602 Overhead rain shower,Overhead rain shower 230 mm dia (9”), 2190,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010602-Overhead-rain-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 431,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010604 Overhead rain shower,Overhead rain shower 200 mm dia (8″) High grade Chrome finish with ABS body Self cleaning nozzleS, 2445,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010604-Overhead-rain-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CC 140,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020101 Overhead shower,Overhead shower 60 mm (2.5”) with revolving joint and shower arm (suitable for Dew range), 2630,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020101-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 301,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020102 Overhead shower,Overhead shower 85 mm (3.5”) dia with single flow and shower arm, 1245,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020102-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 404,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020103 Overhead shower,Overhead shower 70 mm (2.5”) with 235 mm (10.5”) long shower arm, 715,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020103-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CP 140,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020104 Overhead shower,Overhead shower 70 mm (2.5″) dia with shower arm, 1605,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020104-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CQ 140,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020105 Overhead shower,Overhead shower 70 mm (2.5”) dia with revolving joint and shower arm (suitable for Dew range), 2725,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020105-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 406,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020302 Overhead shower,Overhead shower 95 mm (4”) with 3 flow, 845,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020302-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 405,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020301 Overhead shower,Overhead shower 80 mm (3”) with 3 flow, 855,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020301-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 407,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020303 Overhead shower,Overhead shower 80 mm (3”) with 3 flow, 960,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020303-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 416A,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020304 Overhead shower,Overhead shower 95 mm (4″) with 3 flow, 935,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020304-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 416B,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020305 Overhead shower,Overhead shower 120 mm (5”) with 3 flow, 1175,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7020305-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 452,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020306 Overhead shower,Overhead shower 100 mm (4”), 725,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/06/F7020306-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 452A,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020307 Overhead shower,Overhead shower 100 mm (4”), 725,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/06/F7020307-Overhead-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010202SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010202SS Overhead rain shower,Overhead rain shower 300 mm dia (12″) 304 grade SS finish 2 mm Ultra thin edge Self cleaning nozzles, 12300,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010202-Overhead-rain-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010102SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010102SS Overhead rain shower square,Overhead rain shower square 200 x 200 mm (8″x 8″), 5610,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010102-Overhead-rain-shower-square.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010202SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010202SS Overhead rain shower,Overhead rain shower 300 mm dia (12″) 304 grade SS finish 2 mm Ultra thin edge Self cleaning nozzles, 12300,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010202-Overhead-rain-shower.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010102SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010102SS Overhead rain shower square,Overhead rain shower square 200 x 200 mm (8″x 8″), 5610,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F7010102-Overhead-rain-shower-square.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,shower,shower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CE 101,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Overhead Shower - F7030501Hand shower,Hand shower 68 mm dia (2.5 “) and 132 mm (5.5”) long arm, 875,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CE-101-Hand-shower-2-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CE 102,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Overhead Shower - F7030502 Hand shower,Hand shower 120 mm dia (5″) and 150 mm (6″) long arm, 1735,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CE-102-Hand-shower-2-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030315AB,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030315AB Mood Changer Hand Shower,Hand shower 70 mm dia (3”) with wall hook and  1.5 metre hose, 1455,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030315AB-f11@cutout0094-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030313AB,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030313AB Mood Changer Hand Shower,"Hand shower 106 mm dia (4”) with 5 flows, wall hook, and a 1.5 metre hose", 3330,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030313AB-5-3-20-cutout1296-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030314AB,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030314AB Mood Changer Hand Shower,"Hand shower 96 mm dia (4”) with 5 flows, wall hook, and a 1.5 metre hose", 3665,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030314AB-5-3-20-cutout1303-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030311AB,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030311AB Mood Changer Hand Shower,"Hand shower 100 mm dia (4”) with 5 flows, wall hook, and a 1.5 metre hose", 3330,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030311AB-5-3-20-cutout1293-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030312AB,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030312AB Mood Changer Hand Shower,"Hand shower 106 mm dia (4”) with 5 flows, wall hook, and a 1.5 metre hose", 3330,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030312AB-5-3-20-cutout1290-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  ,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030112AB Mood Changer Hand Shower,"Hand shower 110 mm dia (4”) with 3 flows, wall hook, and a 1.5 metre hose", 2660,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030112AB-5-3-20-cutout1309-copy_sml-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030310AB Hand Shower,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030310AB Mood Changer Hand Shower,"Hand shower 120 mm dia (5”) with 5 flows, wall hook, and a 1.5 metre hose", 2660,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030310AB-5-3-20-cutout1314-copy-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030113AB,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030113AB Mood Changer Hand Shower,"Hand shower 120 mm dia (5”) with 3 flows, wall hook, and a 1.5 metre hose", 3665,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030113AB-5-3-20-cutout1299-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030309AB Hand Shower,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030309AB Mood Changes Hand Shower,"Hand shower 120 mm dia (5”) with 3 flows, wall hook, and a 1.5 metre hose", 3665,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030309AB-5-3-20-cutout1320-copy_sml-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030308AB Hand shower,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030308AB Mood Changer Hand Shower,"Hand shower 100 x 125 mm (4 x 5″) with 3 flows, wall hook, and a 1.5 metre hose", 3665,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030308AB-5-3-20-cutout1306-copy_sml-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030310AB,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030310AB Coupling Hand Shower,"Hand shower 120 mm dia (5”) with 5 flows, wall hook, and a 1.5 metre hose", 2660,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030310AB-5-3-20-cutout1314-copy.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030308AB,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030308AB Coupling Hand Shower,"Hand shower 100 x 125 mm (4 x 5″) with 3 flows, wall hook, and a 1.5 metre hose", 3665,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7030308AB-5-3-20-cutout1306-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CE 101,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Overhead Shower - F7030501Hand shower,Hand shower 68 mm dia (2.5 “) and 132 mm (5.5”) long arm, 875,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CE-101-Hand-shower-2-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7030451,bathroom and kitchen fittings,sanitary ware,shower,hand shower,cera,CERA Hand Shower - F7030451 Hand shower with rail,Hand shower with 3 flow and 1.5 mtr long hose mounted on 360 mm long rail with sliding soap dish, 7000,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-101A-Hand-shower-with-3-flow-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,shower,shower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010512AB,bathroom and kitchen fittings,sanitary ware,shower,shower coupling,cera,CERA Overhead Shower - F7010512AB Rain Shower,300 x 200 mm (12″ x 8″), 5200,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010512AB-f11@cutout1462-copy_sml-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010606AB,bathroom and kitchen fittings,sanitary ware,shower,shower coupling,cera,CERA Overhead Shower - F7010606AB Rain shower,230 mm dia (9″), 4455,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010606AB-f11@cutout1460-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010605AB,bathroom and kitchen fittings,sanitary ware,shower,shower coupling,cera,CERA Overhead Shower - F7010605AB Rain Shower,230 mm dia (9″), 4455,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010605AB-f11@cutout1461-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010514AB,bathroom and kitchen fittings,sanitary ware,shower,shower coupling,cera,CERA Overhead Shower - F7010514AB Rain shower,250 x 250 mm (10″ x 10″), 5200,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010514AB-f11@cutout1459-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,shower,shower,shower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CH 102,bathroom and kitchen fittings,sanitary ware,shower,shower arm,cera,CERA Hand Shower - F7040101 Overhead shower arm,Overhead shower arm 180 mm (7″) with wall flange, 315,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CH-102-Overhead-shower-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
